column_name,latex_name,description
res_current_mot_2,,The resolution of the ADC producing the current_mot_2 and current_mot_2_raw measurements. Higher values mean a higher resolution; where a smaller voltage range is mapped to the ADC output range $\{-32768; 32767\}$. The voltage ranges are; respectively; $\pm 6.144; \pm 4.096; \pm 2.048; \pm 1.024; \pm 0.512$ and $\pm 0.256$ Volts. The reading will saturate; i.e.; clamp at $-32768$ or $32767$; if the input voltage exceeds the set range.
angle_2,,The position (in degrees) of the second polarizer as measured by the analog angle sensor.
angle_2_raw,,The uncalibrated angle measurement for the second polarizer; i.e.; the raw ADC output corresponding to angle_2.
offset_angle_2,,The reference voltage (offset) of the ADC producing the angle_2 and angle_2_raw measurements. The actual reference voltage (in Volts) is given by $$5 \times \frac{\text{offset_angle_2}}{4095}.$$
sps_angle_2,,The data rate of the ADC producing the angle_2 and angle_2_raw measurements. Lower values mean the ADC accumulates more readings to produce a single measurement; reducing noise but also lowering the measurement speed. The actual data rates are (respectively) $8; 16; 32; 64; 128; 250; 475$ and $860$ samples per second.
res_angle_2,,The resolution of the ADC producing the angle_2 and angle_2_raw measurements. Higher values mean a higher resolution; where a smaller voltage range is mapped to the ADC output range $\{-32768; 32767\}$. The voltage ranges are; respectively; $\pm 6.144; \pm 4.096; \pm 2.048; \pm 1.024; \pm 0.512$ and $\pm 0.256$ Volts. The reading will saturate; i.e.; clamp at $-32768$ or $32767$; if the input voltage exceeds the set range.
angle_2_digital,,The position (in degrees) of the second polarizer as measured by the rotary encoder.
ir_1,,The uncalibrated infrared intensity measurement produced by the first light sensor; placed in front of both polarizers (wrt. the light source).
vis_1,,The uncalibrated visible-light intensity measurement produced by the first light sensor; placed in front of both polarizers (wrt. the light source).
ir_2,,The uncalibrated infrared intensity measurement produced by the second light sensor; placed between the two polarizers.
vis_2,,The uncalibrated visible-light intensity measurement produced by the second light sensor; placed between the two polarizers.
ir_3,,The uncalibrated infrared intensity measurement produced by the third light sensor; placed after both polarizers (wrt. the light source).
vis_3,,The uncalibrated visible-light intensity measurement produced by the third light sensor; placed after both polarizers (wrt. the light source).
t_ir_1,,The exposure time of the first sensor during an infrared intensity measurement. Higher values correspond to longer exposure; increasing the sensitivity of the sensor.
t_vis_1,,The exposure time of the first sensor during a visible-light intensity measurement. Higher values correspond to longer exposure; increasing the sensitivity of the sensor.
t_ir_2,,The exposure time of the second sensor during an infrared intensity measurement. Higher values correspond to longer exposure; increasing the sensitivity of the sensor.
t_vis_2,,The exposure time of the second sensor during a visible-light intensity measurement. Higher values correspond to longer exposure; increasing the sensitivity of the sensor.
t_ir_3,,The exposure time of the third sensor during an infrared intensity measurement. Higher values correspond to longer exposure; increasing the sensitivity of the sensor.
t_vis_3,,The exposure time of the third sensor during a visible-light intensity measurement. Higher values correspond to longer exposure; increasing the sensitivity of the sensor.
diode_ir_1,,The photodiode used by the first light sensor when taking an infrared measurement; corresponding to the small (0); medium(1) and large (2) photodiodes. Larger values increase the sensitivity of the sensor.
diode_vis_1,,The photodiode used by the first light sensor when taking a visible-light measurement; corresponding to the small (0) and medium (1) photodiodes. Larger values increase the sensitivity of the sensor.
diode_ir_2,,The photodiode used by the second light sensor when taking an infrared measurement; corresponding to the small (0); medium (1) and large (2) photodiodes. Larger values increase the sensitivity of the sensor.
diode_vis_2,,The photodiode used by the second light sensor when taking a visible-light measurement; corresponding to the small (0) and medium (1) photodiodes. Larger values increase the sensitivity of the sensor.
diode_ir_3,,The photodiode used by the third light sensor when taking an infrared measurement; corresponding to the small (0); medium (1) and large (2) photodiodes. Larger values increase the sensitivity of the sensor.
diode_vis_3,,The photodiode used by the third light sensor when taking a visible-light measurement; corresponding to the small (0) and medium (1) photodiodes. Larger values increase the sensitivity of the sensor.
led_1_ir,,The brightness setting of the infrared (IR) LED above the first light-intensity sensor. Higher values correspond to higher brightness.
led_1_uv,,The brightness setting of the ultraviolet (UV) LED above the first light-intensity sensor. Higher values correspond to higher brightness.
led_2_ir,,The brightness setting of the infrared (IR) LED above the second light-intensity sensor. Higher values correspond to higher brightness.
led_2_uv,,The brightness setting of the ultraviolet (UV) LED above the second light-intensity sensor. Higher values correspond to higher brightness.
led_3_ir,,The brightness setting of the infrared (IR) LED above the third light-intensity sensor. Higher values correspond to higher brightness.
led_3_uv,,The brightness setting of the ultraviolet (UV) LED above the third light-intensity sensor. Higher values correspond to higher brightness.
current_led_1_ir,,Measurement (in Amperes) of the current drawn by the IR LED above the first sensor.
current_led_1_ir_raw,,The uncalibrated measurement; i.e.; the raw ADC output; corresponding to the measurement current_led_1_ir.
offset_current_led_1_ir,,The reference voltage (offset) of the ADC producing the current_led_1_ir and current_led_1_ir_raw measurements. The actual reference voltage (in Volts) is given by $$5 \times \frac{\text{offset_current_led_1_ir}}{4095}.$$Because the signal from the current sensor is passed through an inverting amplifier and substracted from the reference voltage; higher values of offset_current_led_1_ir result in higher values of current_led_1_ir_raw.
sps_current_led_1_ir,,The data rate of the ADC producing the current_led_1_ir and current_led_1_ir_raw measurements. Lower values mean the ADC accumulates more readings to produce a single measurement; reducing noise but also lowering the measurement speed. The actual data rates are (respectively) $8; 16; 32; 64; 128; 250; 475$ and $860$ samples per second.
res_current_led_1_ir,,The resolution of the ADC producing the current_led_1_ir and current_led_1_ir_raw measurements. Higher values mean a higher resolution; where a smaller voltage range is mapped to the ADC output range $\{-32768; 32767\}$. The voltage ranges are; respectively; $\pm 6.144; \pm 4.096; \pm 2.048; \pm 1.024; \pm 0.512$ and $\pm 0.256$ Volts. The reading will saturate; i.e.; clamp at $-32768$ or $32767$; if the input voltage exceeds the set range.
current_led_1_uv,,Measurement (in Amperes) of the current drawn by the UV LED above the first sensor.
current_led_1_uv_raw,,The uncalibrated measurement; i.e.; the raw ADC output; corresponding to the measurement current_led_1_uv.
offset_current_led_1_uv,,The reference voltage (offset) of the ADC producing the current_led_1_uv and current_led_1_uv_raw measurements. The actual reference voltage (in Volts) is given by $$5 \times \frac{\text{offset_current_led_1_uv}}{4095}.$$Because the signal from the current sensor is passed through an inverting amplifier and substracted from the reference voltage; higher values of offset_current_led_1_uv result in higher values of current_led_1_uv_raw.
sps_current_led_1_uv,,The data rate of the ADC producing the current_led_1_uv and current_led_1_uv_raw measurements. Lower values mean the ADC accumulates more readings to produce a single measurement; reducing noise but also lowering the measurement speed. The actual data rates are (respectively) $8; 16; 32; 64; 128; 250; 475$ and $860$ samples per second.
res_current_led_1_uv,,The resolution of the ADC producing the current_led_1_uv and current_led_1_uv_raw measurements. Higher values mean a higher resolution; where a smaller voltage range is mapped to the ADC output range $\{-32768; 32767\}$. The voltage ranges are; respectively; $\pm 6.144; \pm 4.096; \pm 2.048; \pm 1.024; \pm 0.512$ and $\pm 0.256$ Volts. The reading will saturate; i.e.; clamp at $-32768$ or $32767$; if the input voltage exceeds the set range.
current_led_2_ir,,Measurement (in Amperes) of the current drawn by the IR LED above the second sensor.
current_led_2_ir_raw,,The uncalibrated measurement; i.e.; the raw ADC output; corresponding to the measurement current_led_2_ir.
offset_current_led_2_ir,,The reference voltage (offset) of the ADC producing the current_led_2_ir and current_led_2_ir_raw measurements. The actual reference voltage (in Volts) is given by $$5 \times \frac{\text{offset_current_led_2_ir}}{4095}.$$Because the signal from the current sensor is passed through an inverting amplifier and substracted from the reference voltage; higher values of offset_current_led_2_ir result in higher values of current_led_2_ir_raw.
sps_current_led_2_ir,,The data rate of the ADC producing the current_led_2_ir and current_led_2_ir_raw measurements. Lower values mean the ADC accumulates more readings to produce a single measurement; reducing noise but also lowering the measurement speed. The actual data rates are (respectively) $8; 16; 32; 64; 128; 250; 475$ and $860$ samples per second.
res_current_led_2_ir,,The resolution of the ADC producing the current_led_2_ir and current_led_2_ir_raw measurements. Higher values mean a higher resolution; where a smaller voltage range is mapped to the ADC output range $\{-32768; 32767\}$. The voltage ranges are; respectively; $\pm 6.144; \pm 4.096; \pm 2.048; \pm 1.024; \pm 0.512$ and $\pm 0.256$ Volts. The reading will saturate; i.e.; clamp at $-32768$ or $32767$; if the input voltage exceeds the set range.
current_led_2_uv,,Measurement (in Amperes) of the current drawn by the UV LED above the second sensor.
current_led_2_uv_raw,,The uncalibrated measurement; i.e.; the raw ADC output; corresponding to the measurement current_led_2_uv.
offset_current_led_2_uv,,The reference voltage (offset) of the ADC producing the current_led_2_uv and current_led_2_uv_raw measurements. The actual reference voltage (in Volts) is given by $$5 \times \frac{\text{offset_current_led_2_uv}}{4095}.$$Because the signal from the current sensor is passed through an inverting amplifier and substracted from the reference voltage; higher values of offset_current_led_2_uv result in higher values of current_led_2_uv_raw.
sps_current_led_2_uv,,The data rate of the ADC producing the current_led_2_uv and current_led_2_uv_raw measurements. Lower values mean the ADC accumulates more readings to produce a single measurement; reducing noise but also lowering the measurement speed. The actual data rates are (respectively) $8; 16; 32; 64; 128; 250; 475$ and $860$ samples per second.
res_current_led_2_uv,,The resolution of the ADC producing the current_led_2_uv and current_led_2_uv_raw measurements. Higher values mean a higher resolution; where a smaller voltage range is mapped to the ADC output range $\{-32768; 32767\}$. The voltage ranges are; respectively; $\pm 6.144; \pm 4.096; \pm 2.048; \pm 1.024; \pm 0.512$ and $\pm 0.256$ Volts. The reading will saturate; i.e.; clamp at $-32768$ or $32767$; if the input voltage exceeds the set range.
current_led_3_ir,,Measurement (in Amperes) of the current drawn by the IR LED above the third sensor.
current_led_3_ir_raw,,The uncalibrated measurement; i.e.; the raw ADC output; corresponding to the measurement current_led_3_ir.
offset_current_led_3_ir,,The reference voltage (offset) of the ADC producing the current_led_3_ir and current_led_3_ir_raw measurements. The actual reference voltage (in Volts) is given by $$5 \times \frac{\text{offset_current_led_3_ir}}{4095}.$$Because the signal from the current sensor is passed through an inverting amplifier and substracted from the reference voltage; higher values of offset_current_led_3_ir result in higher values of current_led_3_ir_raw.
sps_current_led_3_ir,,The data rate of the ADC producing the current_led_3_ir and current_led_3_ir_raw measurements. Lower values mean the ADC accumulates more readings to produce a single measurement; reducing noise but also lowering the measurement speed. The actual data rates are (respectively) $8; 16; 32; 64; 128; 250; 475$ and $860$ samples per second.
res_current_led_3_ir,,The resolution of the ADC producing the current_led_3_ir and current_led_3_ir_raw measurements. Higher values mean a higher resolution; where a smaller voltage range is mapped to the ADC output range $\{-32768; 32767\}$. The voltage ranges are; respectively; $\pm 6.144; \pm 4.096; \pm 2.048; \pm 1.024; \pm 0.512$ and $\pm 0.256$ Volts. The reading will saturate; i.e.; clamp at $-32768$ or $32767$; if the input voltage exceeds the set range.
current_led_3_uv,,Measurement (in Amperes) of the current drawn by the UV LED above the third sensor.
current_led_3_uv_raw,,The uncalibrated measurement; i.e.; the raw ADC output; corresponding to the measurement current_led_3_uv.
offset_current_led_3_uv,,The reference voltage (offset) of the ADC producing the current_led_3_uv and current_led_3_uv_raw measurements. The actual reference voltage (in Volts) is given by $$5 \times \frac{\text{offset_current_led_3_uv}}{4095}.$$Because the signal from the current sensor is passed through an inverting amplifier and substracted from the reference voltage; higher values of offset_current_led_3_uv result in higher values of current_led_3_uv_raw.
sps_current_led_3_uv,,The data rate of the ADC producing the current_led_3_uv and current_led_3_uv_raw measurements. Lower values mean the ADC accumulates more readings to produce a single measurement; reducing noise but also lowering the measurement speed. The actual data rates are (respectively) $8; 16; 32; 64; 128; 250; 475$ and $860$ samples per second.
res_current_led_3_uv,,The resolution of the ADC producing the current_led_3_uv and current_led_3_uv_raw measurements. Higher values mean a higher resolution; where a smaller voltage range is mapped to the ADC output range $\{-32768; 32767\}$. The voltage ranges are; respectively; $\pm 6.144; \pm 4.096; \pm 2.048; \pm 1.024; \pm 0.512$ and $\pm 0.256$ Volts. The reading will saturate; i.e.; clamp at $-32768$ or $32767$; if the input voltage exceeds the set range.
current_supply,,The current drawn by the chamber and all its components; including the onboard computer and server. Used for diagnosis.
current_supply_raw,,The uncalibrated measurement; i.e.; the raw ADC output; corresponding to the measurement current_supply.
pot_1_volts,,The raw voltage (in volts) of the first angle sensor. Used for diagnosis.
pot_2_volts,,The raw voltage (in volts) of the second angle sensor. Used for diagnosis.
